geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"Santa Barbara County, CA","county",05000US06083,0.105,0.124,0.115,2.6,2.4,2.8
"Santa Clara County, CA","county",05000US06085,0.103,0.09,0.084,2.6,2.7,2.6
"Santa Cruz County, CA","county",05000US06087,0.101,0.131,0.115,3.7,3.7,4
"Shasta County, CA","county",05000US06089,0.251,0.141,0.137,4.5,4.3,4.2
"Sierra County, CA","county",05000US06091,,0.125,0.121,,,
"Siskiyou County, CA","county",05000US06093,0.238,0.152,0.143,4.5,4.7,4.2
"Solano County, CA","county",05000US06095,0.135,0.124,0.116,8.2,8.6,8
"Sonoma County, CA","county",05000US06097,0.14,0.116,0.116,2.4,2.2,2.2
"Stanislaus County, CA","county",05000US06099,0.171,0.145,0.144,6.5,6.3,6.5
"Sutter County, CA","county",05000US06101,0.187,0.134,0.124,4.8,5,3.7
"Tehama County, CA","county",05000US06103,0.211,0.152,0.139,5.9,5.7,5.2
"Trinity County, CA","county",05000US06105,0.234,0.149,0.145,,,10.6
"Tulare County, CA","county",05000US06107,0.145,0.154,0.144,8.7,8.5,8.4
"Tuolumne County, CA","county",05000US06109,0.191,0.133,0.131,,,
"Ventura County, CA","county",05000US06111,0.121,0.112,0.099,2.8,2.8,2.8
"Yolo County, CA","county",05000US06113,0.081,0.124,0.119,1.6,1.9,2.2
"Yuba County, CA","county",05000US06115,0.172,0.15,0.154,5.2,4.7,5.3
"Adams County, CO","county",05000US08001,0.216,0.181,0.171,4.4,4.4,4.5
"Alamosa County, CO","county",05000US08003,0.173,0.166,0.184,,,
"Arapahoe County, CO","county",05000US08005,0.154,0.139,0.149,3.7,3.8,4
"Archuleta County, CO","county",05000US08007,0.204,0.141,0.142,,,
"Baca County, CO","county",05000US08009,,0.148,0.165,,,
"Bent County, CO","county",05000US08011,0.267,0.174,0.194,,,
"Boulder County, CO","county",05000US08013,0.115,0.109,0.125,1.2,1.3,1.4
"Broomfield County, CO","county",05000US08014,0.126,0.123,0.125,3.5,3.6,3.1
"Chaffee County, CO","county",05000US08015,0.203,0.142,0.14,,,
"Cheyenne County, CO","county",05000US08017,,0.129,0.137,,,
"Clear Creek County, CO","county",05000US08019,0.186,0.129,0.133,,,
"Conejos County, CO","county",05000US08021,0.21,0.154,0.163,,,
"Costilla County, CO","county",05000US08023,0.19,0.155,0.158,,,
"Crowley County, CO","county",05000US08025,0.155,0.206,0.23,,,
"Custer County, CO","county",05000US08027,0.154,0.155,0.154,,,
"Delta County, CO","county",05000US08029,0.237,0.143,0.15,5,5,
"Denver County, CO","county",05000US08031,0.195,0.164,0.171,7.3,6.6,6.1
"Dolores County, CO","county",05000US08033,0.115,0.17,0.176,,,
"Douglas County, CO","county",05000US08035,0.083,0.098,0.103,1.5,1.3,1
"Eagle County, CO","county",05000US08037,0.095,0.136,0.131,,,
"Elbert County, CO","county",05000US08039,0.152,0.129,0.131,,,
"El Paso County, CO","county",05000US08041,0.178,0.154,0.157,4.4,4.9,4.8
"Fremont County, CO","county",05000US08043,0.27,0.159,0.195,4.5,4.5,4.6
"Garfield County, CO","county",05000US08045,0.184,0.161,0.141,,,
"Gilpin County, CO","county",05000US08047,0.169,0.148,0.142,,,
"Grand County, CO","county",05000US08049,0.219,0.152,0.151,,,
"Gunnison County, CO","county",05000US08051,0.138,0.164,0.162,,,
"Hinsdale County, CO","county",05000US08053,,0.134,0.128,,,
"Huerfano County, CO","county",05000US08055,0.309,0.143,0.147,,,
"Jackson County, CO","county",05000US08057,,0.154,0.145,,,
"Jefferson County, CO","county",05000US08059,0.157,0.134,0.138,1.8,2,2
"Kiowa County, CO","county",05000US08061,,0.149,0.152,,,
"Kit Carson County, CO","county",05000US08063,0.173,0.168,0.156,,,
"Lake County, CO","county",05000US08065,0.146,0.153,0.157,,,
"La Plata County, CO","county",05000US08067,0.174,0.134,0.157,4.9,4.1,3.3
"Larimer County, CO","county",05000US08069,0.148,0.127,0.131,1.7,1.6,1.6
"Las Animas County, CO","county",05000US08071,0.298,0.148,0.154,13.5,12.7,
"Lincoln County, CO","county",05000US08073,0.247,0.158,0.167,,,
"Logan County, CO","county",05000US08075,0.255,0.163,0.16,,,6.4
"Mesa County, CO","county",05000US08077,0.201,0.156,0.16,4.2,4,4.3
"Mineral County, CO","county",05000US08079,,0.138,0.136,,,
"Moffat County, CO","county",05000US08081,0.219,0.163,0.159,,,
"Montezuma County, CO","county",05000US08083,0.187,0.165,0.165,8.9,9.2,5.6
"Montrose County, CO","county",05000US08085,0.155,0.158,0.151,6.3,5.5,4.5
"Morgan County, CO","county",05000US08087,0.154,0.138,0.148,,,
"Otero County, CO","county",05000US08089,0.204,0.167,0.157,,,
"Ouray County, CO","county",05000US08091,,0.126,0.126,,,
"Park County, CO","county",05000US08093,0.157,0.133,0.138,,,
"Phillips County, CO","county",05000US08095,0.116,0.15,0.144,,,
"Pitkin County, CO","county",05000US08097,,0.128,0.133,,,
"Prowers County, CO","county",05000US08099,0.191,0.167,0.16,,,
"Pueblo County, CO","county",05000US08101,0.23,0.17,0.159,6.3,6.1,6.3
"Rio Blanco County, CO","county",05000US08103,0.145,0.151,0.16,,,
"Rio Grande County, CO","county",05000US08105,0.197,0.151,0.165,,,
"Routt County, CO","county",05000US08107,0.098,0.126,0.14,,,
"Saguache County, CO","county",05000US08109,0.152,0.184,0.179,,,
"San Juan County, CO","county",05000US08111,,0.17,0.179,,,
"San Miguel County, CO","county",05000US08113,,0.148,0.157,,,
"Sedgwick County, CO","county",05000US08115,,0.137,0.148,,,
"Summit County, CO","county",05000US08117,0.095,0.145,0.146,,,
"Teller County, CO","county",05000US08119,0.226,0.159,0.141,,,
"Washington County, CO","county",05000US08121,0.137,0.14,0.141,,,
"Weld County, CO","county",05000US08123,0.178,0.155,0.158,2.2,2.1,1.8
"Yuma County, CO","county",05000US08125,0.177,0.138,0.16,,,
"Fairfield County, CT","county",05000US09001,0.12,0.142,0.122,4.1,3.6,3.3
"Hartford County, CT","county",05000US09003,0.15,0.126,0.138,4.9,4.8,4.6
"Litchfield County, CT","county",05000US09005,0.172,0.133,0.126,1.4,1.3,1.1
"Middlesex County, CT","county",05000US09007,0.15,0.132,0.124,1.3,1.8,1.5
"New Haven County, CT","county",05000US09009,0.16,0.139,0.137,4.6,4.4,4.3
"New London County, CT","county",05000US09011,0.177,0.135,0.137,2.7,2.8,2.1
"Tolland County, CT","county",05000US09013,0.138,0.135,0.125,1.1,1.3,1.1
"Windham County, CT","county",05000US09015,0.18,0.154,0.169,,,1.2
"Kent County, DE","county",05000US10001,0.212,0.182,0.19,4.3,4.3,4.4
"New Castle County, DE","county",05000US10003,0.164,0.173,0.158,7.7,7.7,8
"Sussex County, DE","county",05000US10005,0.198,0.173,0.172,3.3,3.3,2.4
"District of Columbia, DC","county",05000US11001,0.157,0.158,0.162,18.9,17.3,16.9
"Alachua County, FL","county",05000US12001,0.144,0.182,0.165,4.5,4.4,4.3
"Baker County, FL","county",05000US12003,0.202,0.192,0.188,6.1,,
"Bay County, FL","county",05000US12005,0.245,0.174,0.177,6.9,7.2,7
"Bradford County, FL","county",05000US12007,0.132,0.189,0.183,,,
"Brevard County, FL","county",05000US12009,0.218,0.167,0.157,6.1,6.2,5.2
"Broward County, FL","county",05000US12011,0.143,0.145,0.146,5.3,5.3,4.9
"Calhoun County, FL","county",05000US12013,0.302,0.217,0.194,,,
"Charlotte County, FL","county",05000US12015,0.221,0.144,0.144,3.1,3.1,1.6
"Citrus County, FL","county",05000US12017,0.238,0.16,0.17,4.9,5.5,4.6
"Clay County, FL","county",05000US12019,0.209,0.162,0.152,4.9,4.7,4.6
"Collier County, FL","county",05000US12021,0.145,0.142,0.127,4.6,4.9,3.3
"Columbia County, FL","county",05000US12023,0.239,0.194,0.184,6.5,8,8.6
"DeSoto County, FL","county",05000US12027,0.161,0.214,0.2,,4.3,
"Dixie County, FL","county",05000US12029,0.312,0.198,0.193,,,10.6
"Duval County, FL","county",05000US12031,0.204,0.182,0.171,13,12.7,12
"Escambia County, FL","county",05000US12033,0.219,0.179,0.18,7.7,8.3,8
"Flagler County, FL","county",05000US12035,0.225,0.147,0.145,3.8,4.1,3
"Franklin County, FL","county",05000US12037,,0.192,0.174,,,
"Gadsden County, FL","county",05000US12039,0.177,0.219,0.209,7.9,9,8
"Gilchrist County, FL","county",05000US12041,0.244,0.191,0.178,,,11
"Glades County, FL","county",05000US12043,0.175,0.184,0.175,,,
"Gulf County, FL","county",05000US12045,0.24,0.193,0.177,,,
"Hamilton County, FL","county",05000US12047,0.211,0.208,0.205,,,9.8
"Hardee County, FL","county",05000US12049,0.209,0.223,0.207,5.5,6.8,
"Hendry County, FL","county",05000US12051,0.225,0.212,0.2,13.3,12.2,11.1
"Hernando County, FL","county",05000US12053,0.226,0.186,0.158,3.5,3.9,3.9
"Highlands County, FL","county",05000US12055,0.186,0.159,0.153,5.9,6.2,5.1
"Hillsborough County, FL","county",05000US12057,0.183,0.169,0.162,5.4,5.4,5.2
"Holmes County, FL","county",05000US12059,0.218,0.205,0.199,,,
"Indian River County, FL","county",05000US12061,0.189,0.164,0.137,4.3,4.1,4.2
"Jackson County, FL","county",05000US12063,0.183,0.19,0.191,9.5,9.6,7
"Jefferson County, FL","county",05000US12065,0.181,0.191,0.177,,,
"Lafayette County, FL","county",05000US12067,0.167,0.21,0.188,,,
"Lake County, FL","county",05000US12069,0.149,0.151,0.157,4.4,4,3.7
"Lee County, FL","county",05000US12071,0.197,0.164,0.152,8.4,7.9,5.9
"Leon County, FL","county",05000US12073,0.151,0.179,0.162,4.2,5,5.5
"Levy County, FL","county",05000US12075,0.2,0.192,0.178,,,3.6
"Liberty County, FL","county",05000US12077,0.231,0.207,0.202,,,
"Madison County, FL","county",05000US12079,0.205,0.205,0.207,7.3,,
"Manatee County, FL","county",05000US12081,0.171,0.156,0.152,7.6,7.5,6.3
